id,currencyType,USDprice,BTCprice,moment_tstamp
356,USD,2147.28,0.00047,2017-05-28+08:48:57
357,USD,2150.25,0.00047,2017-05-28+08:49:57
358,USD,2150.39,0.00046,2017-05-28+08:50:57
359,USD,2153.14,0.00046,2017-05-28+08:51:57
360,USD,2154.40,0.00046,2017-05-28+08:52:57
361,USD,2147.02,0.00047,2017-05-28+08:53:57
362,USD,2137.66,0.00047,2017-05-28+08:54:57
363,USD,2133.32,0.00047,2017-05-28+08:55:57
364,USD,2137.88,0.00047,2017-05-28+08:56:56
365,USD,2138.17,0.00047,2017-05-28+08:57:57
366,USD,2139.44,0.00047,2017-05-28+08:58:57
367,USD,2138.53,0.00047,2017-05-28+08:59:57
368,USD,2139.42,0.00047,2017-05-28+09:00:57
369,USD,2141.44,0.00047,2017-05-28+09:01:57
370,USD,2143.71,0.00047,2017-05-28+09:02:57
371,USD,2143.42,0.00047,2017-05-28+09:03:57
372,USD,2138.44,0.00047,2017-05-28+09:04:57
373,USD,2140.41,0.00047,2017-05-28+09:05:57
374,USD,2135.92,0.00047,2017-05-28+09:06:57
375,USD,2124.06,0.00047,2017-05-28+09:07:57
376,USD,2116.57,0.00047,2017-05-28+09:08:57
377,USD,2112.13,0.00047,2017-05-28+09:09:57
378,USD,2114.65,0.00047,2017-05-28+09:10:57
379,USD,2115.17,0.00047,2017-05-28+09:11:57
380,USD,2123.83,0.00047,2017-05-28+09:12:57
381,USD,2125.04,0.00047,2017-05-28+09:13:57
382,USD,2126.11,0.00047,2017-05-28+09:14:57
383,USD,2122.87,0.00047,2017-05-28+09:15:57
384,USD,2122.59,0.00047,2017-05-28+09:16:57
385,USD,2122.64,0.00047,2017-05-28+09:17:57
386,USD,2119.20,0.00047,2017-05-28+09:18:57
387,USD,2114.96,0.00047,2017-05-28+09:19:57
388,USD,2117.10,0.00047,2017-05-28+09:20:57
389,USD,2118.74,0.00047,2017-05-28+09:21:57
390,USD,2120.31,0.00047,2017-05-28+09:22:57
391,USD,2120.65,0.00047,2017-05-28+09:23:57
392,USD,2122.77,0.00047,2017-05-28+09:24:57
393,USD,2120.36,0.00047,2017-05-28+09:25:57
394,USD,2121.68,0.00047,2017-05-28+09:26:57
395,USD,2127.24,0.00047,2017-05-28+09:27:57
396,USD,2133.19,0.00047,2017-05-28+09:28:57
397,USD,2135.17,0.00047,2017-05-28+09:29:57
398,USD,2136.13,0.00047,2017-05-28+09:30:57
399,USD,2136.12,0.00047,2017-05-28+09:31:57
400,USD,2139.19,0.00047,2017-05-28+09:32:57
401,USD,2138.50,0.00047,2017-05-28+09:33:57
402,USD,2140.50,0.00047,2017-05-28+09:34:57
403,USD,2139.19,0.00047,2017-05-28+09:35:57
404,USD,2141.20,0.00047,2017-05-28+09:36:57
405,USD,2142.75,0.00047,2017-05-28+09:37:57
406,USD,2146.59,0.00047,2017-05-28+09:39:09
407,USD,2144.78,0.00047,2017-05-28+09:39:57
408,USD,2143.95,0.00047,2017-05-28+09:40:57
409,USD,2147.80,0.00047,2017-05-28+09:41:57
410,USD,2147.85,0.00047,2017-05-28+09:42:57
411,USD,2147.55,0.00047,2017-05-28+09:43:57
412,USD,2151.05,0.00046,2017-05-28+09:44:57
413,USD,2157.02,0.00046,2017-05-28+09:45:57
414,USD,2160.53,0.00046,2017-05-28+09:46:58
415,USD,2163.45,0.00046,2017-05-28+09:47:58
416,USD,2164.32,0.00046,2017-05-28+09:48:57
417,USD,2163.43,0.00046,2017-05-28+09:49:57
418,USD,2161.93,0.00046,2017-05-28+09:50:57
419,USD,2161.51,0.00046,2017-05-28+09:51:57
420,USD,2164.03,0.00046,2017-05-28+09:52:57
421,USD,2164.60,0.00046,2017-05-28+09:53:57
422,USD,2163.78,0.00046,2017-05-28+09:54:57
423,USD,2161.73,0.00046,2017-05-28+09:55:57
424,USD,2162.63,0.00046,2017-05-28+09:56:57
425,USD,2162.12,0.00046,2017-05-28+09:57:57
426,USD,2156.58,0.00046,2017-05-28+09:58:57
427,USD,2152.95,0.00046,2017-05-28+09:59:57
428,USD,2151.18,0.00046,2017-05-28+10:00:57
429,USD,2151.59,0.00046,2017-05-28+10:01:57
430,USD,2157.75,0.00046,2017-05-28+10:02:57
431,USD,2156.86,0.00046,2017-05-28+10:03:57
432,USD,2156.27,0.00046,2017-05-28+10:04:57
433,USD,2158.58,0.00046,2017-05-28+10:05:58
434,USD,2159.88,0.00046,2017-05-28+10:06:57
435,USD,2161.19,0.00046,2017-05-28+10:07:58
436,USD,2162.91,0.00046,2017-05-28+10:08:58
437,USD,2163.88,0.00046,2017-05-28+10:09:58
438,USD,2171.84,0.00046,2017-05-28+10:10:58
439,USD,2180.87,0.00046,2017-05-28+10:11:58
440,USD,2180.93,0.00046,2017-05-28+10:12:58
441,USD,2175.73,0.00046,2017-05-28+10:13:58
442,USD,2174.90,0.00046,2017-05-28+10:14:57
443,USD,2172.68,0.00046,2017-05-28+10:15:57
444,USD,2175.42,0.00046,2017-05-28+10:16:58
445,USD,2176.36,0.00046,2017-05-28+10:17:58
446,USD,2178.13,0.00046,2017-05-28+10:18:57
447,USD,2177.85,0.00046,2017-05-28+10:19:58
448,USD,2178.68,0.00046,2017-05-28+10:20:58
449,USD,2179.12,0.00046,2017-05-28+10:21:58
450,USD,2178.85,0.00046,2017-05-28+10:22:58
451,USD,2178.82,0.00046,2017-05-28+10:23:57
452,USD,2177.79,0.00046,2017-05-28+10:24:58
453,USD,2180.51,0.00046,2017-05-28+10:25:58
454,USD,2177.78,0.00046,2017-05-28+10:26:58
455,USD,2181.71,0.00046,2017-05-28+10:27:58
456,USD,2182.32,0.00046,2017-05-28+10:28:58
457,USD,2180.76,0.00046,2017-05-28+10:29:57
458,USD,2181.36,0.00046,2017-05-28+10:30:58
459,USD,2181.44,0.00046,2017-05-28+10:31:59
460,USD,2179.62,0.00046,2017-05-28+10:32:58
461,USD,2177.96,0.00046,2017-05-28+10:33:58
462,USD,2177.54,0.00046,2017-05-28+10:34:57
463,USD,2171.18,0.00046,2017-05-28+10:35:58
464,USD,2169.14,0.00046,2017-05-28+10:36:58
465,USD,2168.21,0.00046,2017-05-28+10:37:58
466,USD,2167.22,0.00046,2017-05-28+10:38:58
467,USD,2168.91,0.00046,2017-05-28+10:39:58
468,USD,2169.02,0.00046,2017-05-28+10:40:58
469,USD,2166.36,0.00046,2017-05-28+10:41:58
470,USD,2167.81,0.00046,2017-05-28+10:42:58
471,USD,2164.04,0.00046,2017-05-28+10:43:58
472,USD,2158.22,0.00046,2017-05-28+10:44:58
473,USD,2142.80,0.00047,2017-05-28+10:45:58
474,USD,2135.33,0.00047,2017-05-28+10:46:59
475,USD,2138.46,0.00047,2017-05-28+10:47:58
476,USD,2141.74,0.00047,2017-05-28+10:48:58
477,USD,2141.39,0.00047,2017-05-28+10:49:58
478,USD,2136.44,0.00047,2017-05-28+10:50:58
479,USD,2133.71,0.00047,2017-05-28+10:51:58
480,USD,2131.38,0.00047,2017-05-28+10:52:58
481,USD,2128.93,0.00047,2017-05-28+10:53:58
482,USD,2133.65,0.00047,2017-05-28+10:54:58
483,USD,2129.34,0.00047,2017-05-28+10:55:58
484,USD,2131.81,0.00047,2017-05-28+10:56:58
485,USD,2138.37,0.00047,2017-05-28+10:57:58
486,USD,2144.41,0.00047,2017-05-28+10:58:58
487,USD,2151.80,0.00046,2017-05-28+10:59:58
488,USD,2154.62,0.00046,2017-05-28+11:00:58
489,USD,2158.36,0.00046,2017-05-28+11:01:58
490,USD,2163.00,0.00046,2017-05-28+11:02:58
491,USD,2163.79,0.00046,2017-05-28+11:03:58
492,USD,2164.90,0.00046,2017-05-28+11:04:58
493,USD,2163.21,0.00046,2017-05-28+11:06:29
494,USD,2163.98,0.00046,2017-05-28+11:07:29
495,USD,2157.98,0.00046,2017-05-28+11:08:29
